id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_minion-22da0b6361de-en,en,"Minion and Minion engaged in an intense, playful kiss; one has short brown hair, eyes closed and head tilted back slightly. Soft lighting, close-up shot.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F3%2F8ab228a37a3f441a7a7178b92e313696.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=35iSyX5XuDcgeWdv9VHXFYiewWw%3D,v4.6_vlm,qwen-plus,1.00000000,22.91012669,2,42,97595
ip_minion-da2082efe9c1-en_2,en,Minion bending forward in a chat interface. Green and white speech bubbles contain Chinese text and emojis. Small thumbnails show Minion posing.,image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F4279ae7f37f0e81be6202cdb033cfe01.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824119&Signature=Ri7TEu38o%2BziTJDQfHynigMW%2F4k%3D,v4.6_vlm,qwen-plus,1.00000000,22.90297937,2,42,99927
ip_minion-8bf150b4e755-en,en,"Minion holding a white rectangular card with handwritten Chinese text reading ""Dreams are not laughable, persistence is especially cool,"" featuring a small blue stamp of a cartoon rabbit.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fbed77fac3968ef7bddc849c56a15c60f.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824106&Signature=Gon24O%2BZnv9wqt%2BrGa7ERmhP6NQ%3D,v4.6_vlm,qwen-plus,1.00000000,22.87852764,2,42,99472
ip_minion-2819c936ae82-en,en,"Minion holding a close-up watermelon slice with red flesh, black diamond-shaped seeds, and thick white rind against green outer skin.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fe7ce103fd80a0e59643e055f1a58bdaf.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=ayJ%2BPNcek6ph0v6U8hIqj3K2HaA%3D,v4.6_vlm,qwen-plus,1.00000000,22.83715057,2,42,99541
ip_minion-dab85aa8991a-en,en,"Close-up side profile of Minion with dark hair wearing three distinct earrings: a padlock stud, a gold star, and a pearl.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F59786df8fff28c3124ad008b24217536.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824127&Signature=cfQRqsXSvqDyO6pICNvBuwjIRGo%3D,v4.6_vlm,qwen-plus,1.00000000,22.83534670,2,42,96436
ip_minion-b86b0e69d406-en,en,"Anime style close-up portrait of Minion with messy dark grey hair and glasses, mouth open, looking slightly upward with a serious or distressed expression.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F762201b50e19984552272fdca96d8785.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824076&Signature=5g2xrTMspePZ9JtW5bz9ljlMKzs%3D,v4.6_vlm,qwen-plus,1.00000000,22.76469755,2,42,99324
ip_minion-7f58e19efa4e-en,en,"Minion with a small top knot kissing another person, close-up side profile. Intense orange lighting illuminates his face and neck. He wears a black jacket.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F3%2F9125d7a7726cd8c420e06bb4e36527f0.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824094&Signature=xHzty1VxNfhv8m%2FaO37lAkkQBX4%3D,v4.6_vlm,qwen-plus,1.00000000,22.74463320,2,42,99657
ip_minion-1fa83ea8e558-en,en,"Minion crying intensely, face scrunched up and eyes squeezed shut, dark hair in pigtails.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F25%2F9982168d8a54ee35cc623f1cecc150d8.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824115&Signature=5rfDIngVLoyiavNawnzQv1WIQTc%3D,v4.6_vlm,qwen-plus,1.00000000,22.70055819,2,42,98169
ip_minion-e1b46dc378b9-en_2,en,"Minion typing a message in a Chinese mobile messaging app group chat, with white and green text bubbles visible on screen.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F25%2F70f556629287270b7cd0715e1b89cbf3.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=ohLgPSBLqDDh7Snazd0D7aErYXY%3D,v4.6_vlm,qwen-plus,1.00000000,22.64886284,2,42,99817
ip_minion-5c55a693206b-en,en,"Minion’s smooth, curved skin in soft focus, dark shadows contrasting with pale pink and beige hues.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F0f0b1f323ce217fc425878f4fb49e547.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=fnflJTTW65gN%2B4StL1XjTLpNUnc%3D,v4.6_vlm,qwen-plus,1.00000000,22.60929775,2,42,96255
ip_minion-99071ccb0900-en,en,"Anime style close-up of Minion screaming in terror. His eyes are wide white circles, mouth open wide showing teeth.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fe8a83890fd62e8784b587be399e0e0dd.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824132&Signature=ocqeyPVHQiltXby888iK1cQvVZU%3D,v4.6_vlm,qwen-plus,1.00000000,22.59382153,2,42,97871
ip_minion-77e96f1c52b4-en,en,A quiet room with low-poly Minions engaged in a chess game,image,ip,ip_minion,na,Minions,true,,,,,playing chess in a quiet room,low poly,,llm_rewrite,,v1.3_llm,llm,1.00000000,22.59292078,2,42,183928
ip_minion-017e7d1045e4-en,en,"Minion roaring fiercely with glowing red eyes and bared teeth, anime style close-up, angry expression, furrowed brows, dynamic speed lines surrounding the face.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F1671b83fc594b75e7751a4fa7e7021d5.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824108&Signature=hMVpxrPz39HqpkE2RWQQZ%2Fa8CMY%3D,v4.6_vlm,qwen-plus,1.00000000,22.57908726,2,42,96603
ip_minion-74fcfb74c822-en,en,"Minion and a young Asian woman face each other, foreheads touching in a romantic close-up. Soft, hazy backlighting creates a dreamy atmosphere with lens flare. Minion leans over the woman",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F13dd053d3d074cb75f0ce3a2d28a2fc1.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=oJgphYIHLW4Lb9PxRkoTJeRojRo%3D,v4.6_vlm,qwen-plus,1.00000000,22.57592201,2,42,96135
ip_minion-046e87e82b3d-en,en,"Close-up selfie of Minion looking directly at the camera with red lips slightly parted, wearing black square glasses.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fb57177b75a0d9873c24cefe2c01c2416.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824123&Signature=6QLuDB%2BF4bop%2FQItqj5b3tl7C2M%3D,v4.6_vlm,qwen-plus,1.00000000,22.57180214,2,42,96885
ip_minion-7be87d7f1922-en,en,"Minion adjusts black sunglasses while wearing white earphones, with visible tattoos on his arm and a white top.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F9be3273599c55302013a4c5ae7add19b.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824069&Signature=16pzdrHZwI6K8WjKxwyR9a938rs%3D,v4.6_vlm,qwen-plus,1.00000000,22.53877163,2,42,98698
ip_minion-96b32edba413-en,en,"Minion and a woman in an intimate moment, faces nearly touching. The woman has dark hair and closed eyes; Minion is shown in profile. Soft lighting.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F3%2Fb047fa4e48a3d8899833f59214304b9f.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824075&Signature=ZvteRePWxPBbXWusJFVEIrvGSRg%3D,v4.6_vlm,qwen-plus,1.00000000,22.48286581,2,42,98994
ip_minion-9592474964ec-en,en,"Close-up of Minion with dark curly hair and silver hoop earrings, center frame. His eyes are closed tight, eyebrows furrowed.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fdd02c3d290751f9e27afe0ddbfd94f74.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824126&Signature=RIcMGumb3jB%2FvrvFJ2xxiE8ViZE%3D,v4.6_vlm,qwen-plus,1.00000000,22.45336866,2,42,97289
ip_minion-95c7190fa6a9-en,en,"Close-up portrait of Minion looking sideways with a playful, skeptical expression.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fcffcec3dd8be4c97a09b95f86bf0abf8.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824129&Signature=0Kxad7qPz4AGVZ8IZvSrQwfTveA%3D,v4.6_vlm,qwen-plus,1.00000000,22.43893957,2,42,96117
ip_minion-abfc983417f9-en,en,"Minion crying intensely, mouth wide open in a scream, tears streaming down rosy cheeks, with a hand resting comfortingly on his head.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fed14b5451f1c55218f54a4bf81b95307.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824120&Signature=cjGIUSnNZHiJFz23HUHlV8h0vqE%3D,v4.6_vlm,qwen-plus,1.00000000,22.43353558,2,42,97013
ip_minion-bf1d0b73d9fd-en,en,"Minion crying with tears streaming down his face, eyes closed and mouth open in distress, short teal hair visible, warm orange and pink lighting creating a dramatic close-up.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F541d52dbf2b66ce230927e326bd6bedf.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824131&Signature=btONp1CprqpbyV%2B1q6AT0rhJTMw%3D,v4.6_vlm,qwen-plus,1.00000000,22.41794348,2,42,97301
ip_minion-e65ea5c29550-en,en,"In flat illustration style: Minions casually walking through a chaotic, full market.",image,ip,ip_minion,na,Minions,true,,,,,walking through a busy market,flat illustration,,llm_rewrite,,v1.3_llm,llm,1.00000000,22.38568640,2,42,184126
ip_minion-d4a352ecacab-en,en,"Close-up side profile of Minion with wet dark hair and an earring, eyes closed, mouth open kissing a forearm. Minion is positioned on the right side of the frame in the foreground.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F3%2F0482713ebfee6fd8ea171fd7dbea323a.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824118&Signature=wah58LeETox%2FcBp4g0Zw3AsIiug%3D,v4.6_vlm,qwen-plus,1.00000000,22.37943888,2,42,97855
ip_minion-a77dd367ba5f-en,en,"Minion relaxes in an outdoor hot spring pool, facing away from the camera and looking toward a white hotel building labeled ""RAMADA"" nestled among bare trees.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F7%2F8f495981cc93fb50816c07c067d00b6c.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824093&Signature=qkT2Rfy4ObsGu5YVMRUwzfvmZVY%3D,v4.6_vlm,qwen-plus,1.00000000,22.37269878,2,42,99453
ip_minion-a98868669dd2-en,en,"Extreme close-up portrait of Minion in side profile view, long reddish-brown hair flowing. Bright, overexposed lighting creates a hazy, dreamlike effect. Soft focus, candid selfie style.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fd169a424f879fca5a177c06100af72ef.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824070&Signature=HW4IBj3O3MUaVRdeD4HmlvVgZnE%3D,v4.6_vlm,qwen-plus,1.00000000,22.32013607,2,42,96813
ip_minion-1daf079379ac-en,en,"Close-up portrait of Minion making an exaggerated gagging face, mouth wide open, eyes rolled back. White text ""yue"" overlaid on the lower right cheek area. Blue background.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fc9bee8493fc35dd9cc5baedc88f37c22.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=xlOk4FQK8hlhXPegmCVE2af%2BWPE%3D,v4.6_vlm,qwen-plus,1.00000000,22.31850195,2,42,98302
ip_minion-dfeb43fe58c7-en,en,"Pixel art depiction of Gru and Minions lying on a hill, looking at the stars",image,ip,ip_minion,na,Minions;Gru,true,,,,,stargazing on a hill,pixel art,,llm_rewrite,,v1.3_llm,llm,1.00000000,22.31482315,2,42,183695
ip_minion-213c5bb0f4a5-en,en,"Minion forages on a dark, muddy tidal flat. One Minion squats digging with a tool, another bends over a woven basket filled with clams, and a third stands nearby.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F25%2F1b2d685e528f554411e442296309278f.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824127&Signature=2%2F1TQIU6vTAO8Xy2KX02CSwuDkw%3D,v4.6_vlm,qwen-plus,1.00000000,22.30480337,2,42,98462
ip_minion-0b19ffb5ff2a-en,en,A calm room hosts Gru and his Minions playing chess,image,ip,ip_minion,na,Minions;Gru,true,,,,,playing chess in a quiet room,,,llm_rewrite,,v1.3_llm,llm,1.00000000,22.30463362,2,42,184381
ip_minion-3aa860ed2f98-en,en,"Close-up portrait of Minion looking directly at the camera, resting his chin on his hand in a dimly lit indoor setting. The image has a grainy texture.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F73bb3a96a22f71637fb410e7c2e11208.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824126&Signature=mj7OD81bfjFi7aA8t2tkLQUfBhQ%3D,v4.6_vlm,qwen-plus,1.00000000,22.30262089,2,42,97131
ip_minion-bf9d4da33336-en,en,"Anime style close-up of Minion with pink hair and pointed elf ears, large brown eyes, and an angry expression.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F5ecf78ce9b7e1d704d673bfb553a6536.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824124&Signature=wmCSmSiytgAXu38D%2BChuArl2bd0%3D,v4.6_vlm,qwen-plus,1.00000000,22.28272343,2,42,96113
ip_minion-f54ef24e64c2-en,en,"Minion carefully holds a La Mer ""The Arrive Hydrated Collection"" gift box, admiring the green glass skincare bottles and white jar inside.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F7b307f6cb8289f2437eec3bc7c2fc0e7.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=D7jssG6wu3PSEKoztD9nG%2FfpRu8%3D,v4.6_vlm,qwen-plus,1.00000000,22.27520704,2,42,97104
ip_minion-58c7d3a30a06-en,en,"Close-up side profile of Minion with messy black hair, wearing a dark green military-style jacket. Warm cinematic lighting highlights his ear and jawline against a blurred background.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F411410bf135ac8534521892ecf74d582.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=2fsEshPJpj%2B1r1s%2BFFK3OH%2Fj4B4%3D,v4.6_vlm,qwen-plus,1.00000000,22.26240158,2,42,96439
ip_minion-50f28398fe72-en,en,"Close-up of Minion wearing vintage aviator goggles and headphones, looking distressed. Cinematic lighting highlights his face with heavy eye makeup.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F605db51789d61cfca8edf5ee3dbae87d.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=%2FJqIAlK43g7iJaLygwzRL8Zrhcc%3D,v4.6_vlm,qwen-plus,1.00000000,22.24924612,2,42,97202
