id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_elsa-4363697e71b0-en,en,"Close-up portrait of Elsa facing forward, with her long platinum braid and elegant ice-blue gown, wearing delicate snowflake earrings.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fcceae320bc5831cfa1ed110f39435f4a.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824132&Signature=qmQKIhYiK0tmqXwExHE0VN5Wlfw%3D,v4.6_vlm,qwen-plus,1.00000000,20.64952183,3,42,91391
ip_elsa-74b3cd2e9f53-en,en,"Anime style close-up of Elsa with an intense expression, sweating profusely, chewing long orange noodles with her mouth wide open.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F69c426a5bc8fb3ef2a2ad9ecf42dd306.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824132&Signature=VaNCHwPIv9J9%2FOhlBhSCzv0NntU%3D,v4.6_vlm,qwen-plus,1.00000000,20.62163591,3,42,88488
ip_elsa-894def32d8e6-en,en,"Anime style illustration. Elsa lies on her back in the foreground, looking upward with a surprised expression.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fcd72632dc47843dc00ab8452ee1f7100.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824111&Signature=MGjoRsLTMATOheBLjssH7KqlBfw%3D,v4.6_vlm,qwen-plus,1.00000000,20.54221296,3,42,91048
ip_elsa-dbdcf0a11205-en,en,Anime style illustration of Elsa. She has platinum blonde braided hair and wears her iconic ice-blue gown with silver accents.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fca076da5f01a7d627f9f1bb0126680ae.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=kUBQSw6hPTMPSb9ddA5MPi4lIvo%3D,v4.6_vlm,qwen-plus,1.00000000,20.51071787,3,42,89495
ip_elsa-6473f9eaa544-en_2,en,"Anime style portrait of Elsa with a slight blush, her iconic braid and ice-blue gown visible. A large pink heart floats on the left. A comic book speech bubble reads ""WOW!",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F4a7d6026b8a9fa0e573eb4805946fd05.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824120&Signature=4ZiB4fPrBjNMxLLolEdnvHMhp78%3D,v4.6_vlm,qwen-plus,1.00000000,20.49059010,3,42,91808
ip_elsa-ba264f687c6d-en,en,"Elsa takes a mirror selfie in her ice palace, smiling gently as she holds a black smartphone with a purple case, her snowflake-patterned gloves visible.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F42%2Fdf3f86807fb2b55abceac78ce1d9c445.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824123&Signature=1rBGUwsKIOSw4y7lmiLLAGKgxTg%3D,v4.6_vlm,qwen-plus,1.00000000,20.47592640,3,42,89110
ip_elsa-51ca6be13a27-en,en,"Anime style portrait of Elsa with long platinum braided hair, wearing ornate ice-blue and silver armor with intricate frost patterns.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F43851c53ca35f1eee82a2bdc54035352.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824135&Signature=6BVu0MiuI8CNGIG%2FXeokjmzK5ks%3D,v4.6_vlm,qwen-plus,1.00000000,20.45246172,3,42,90443
ip_elsa-e45d68d44410-en,en,"Capture Elsa reading a book in a library: dramatic cinematic lighting, bold and lively colors",image,ip,ip_elsa,na,Elsa,true,,,,,reading a book in a library,cinematic lighting,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.44734192,3,42,181641
ip_elsa-12eef88d5c02-en,en,"A close-up selfie of Elsa against a bright, overexposed background.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fde5e77d69bc25bdcb69c653085a11d17.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824102&Signature=rIJ8jQDxL8Nn9k%2BSUayB4Enb4nQ%3D,v4.6_vlm,qwen-plus,1.00000000,20.42099810,3,42,90467
ip_elsa-6231a23bd858-en,en,Show Elsa absorbed in a book at a library—use cinematic lighting and maximize color vibrancy,image,ip,ip_elsa,na,Elsa,true,,,,,reading a book in a library,cinematic lighting,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.41661787,3,42,181556
ip_elsa-ac570097de7a-en,en,A smartphone lock screen collage featuring a central close-up of Elsa making a scrunched facial expression. Surrounding images show Elsa in various expressive poses.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F811d58a87a779c20a488652ce16efd12.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=SAZvdF%2BMJDx1yWIepyU50LJhDnM%3D,v4.6_vlm,qwen-plus,1.00000000,20.40735912,3,42,90469
ip_elsa-43e51dc2ceb7-en_2,en,"Anime style portrait of Elsa with her iconic platinum braided hair, wearing a blue jacket over a white tank top, a futuristic earpiece with red wires, and a necklace.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fb6bf2dbc1067a0da11dedc63825c9089.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824102&Signature=6%2Fwo6u%2BLu%2Bxgw9l9jT5vulgCaZA%3D,v4.6_vlm,qwen-plus,1.00000000,20.40725088,3,42,91792
ip_elsa-5425f9209334-en,en,"Anime manga poster featuring Elsa with her iconic platinum braid pointing upward. Two smaller chibi characters, one with blue hair and one with blonde hair, beside her.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F6c7e9685b7b373190422e87d840da188.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824115&Signature=dSsIiQV9Y9XWrNJ93ZINaqpUnJM%3D,v4.6_vlm,qwen-plus,1.00000000,20.40356636,3,42,89322
ip_elsa-04f64084291f-en,en,Anime style portrait of Elsa winking while holding a red strawberry over her left eye.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F5c72d0a163f46d3f950ef55fc15ce207.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824089&Signature=OBP8N7wFOBuQeIiJPzi%2Fi%2FDAy94%3D,v4.6_vlm,qwen-plus,1.00000000,20.34772539,3,42,90980
ip_elsa-0d13ae92271e-en,en,Elsa with an angry expression and bared teeth.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F647f3438429f1f0f9a47135e949d7c70.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824134&Signature=RiS%2FGdH5UFlaIwSx4LWRg9ZvfIg%3D,v4.6_vlm,qwen-plus,1.00000000,20.34695339,3,42,91098
ip_elsa-54263f3b1458-en_2,en,Elsa browsing a chat interface with a serene ice-themed background; white and green speech bubbles containing Chinese text float beside her.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F9%2Fed94ee5fd7dd5d0708a0cf7a46e9fa08.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824076&Signature=1%2FXBeXEE70dCoX5osKW%2F4AED2xw%3D,v4.6_vlm,qwen-plus,1.00000000,20.33893347,3,42,91740
ip_elsa-0bea00f44084-en,en,"A close-up shot of Elsa lying down, viewed from the side. The image features overlaid text in Chinese characters and English.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F5d6fd3673dc1e88e60adad4495e89686.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824106&Signature=%2BOMGYUzOKmIKMsn2yBmsYcbwmeA%3D,v4.6_vlm,qwen-plus,1.00000000,20.30564880,3,42,91064
ip_elsa-1d021f3cac13-en,en,"Anime style close-up of Elsa lying on her back, head tilted up, sweating profusely with tears in her eyes and mouth slightly open.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Ffb49d78195ef41bdc80873eee3e5366a.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824123&Signature=rq1bdNoW6dzMJkGIWYurolE0elQ%3D,v4.6_vlm,qwen-plus,1.00000000,20.28102684,3,42,89516
ip_elsa-65fa2392c167-en,en,"Over a cutting-edge futuristic city, Elsa takes flight — 3D render",image,ip,ip_elsa,na,Elsa,true,,,,,flying over a futuristic city,3D render,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.28086185,3,42,181524
ip_elsa-686be5d718a6-en,en,"Anime style illustration of Elsa looking upwards with an expression of pleasure, multiple hands gently touching her neck and chest.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F4a5240cea64bb5dff872d3d7265fc2e0.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=Lb4fIj%2BnFM5aFcfNDyYSfCPZqwQ%3D,v4.6_vlm,qwen-plus,1.00000000,20.27280092,3,42,90675
ip_elsa-788622d9ad1c-en,en,"A collage of five images featuring Elsa in various beauty contexts. Top left shows a QR code. Other panels depict Elsa with skincare products, wearing a headband, holding a jar.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F29%2Fb6931c06c2e490f269e1102daf9af44f.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824069&Signature=sDmSoJOKUfeU2JPDI%2BjjYHnbhWk%3D,v4.6_vlm,qwen-plus,1.00000000,20.25774288,3,42,88959
ip_elsa-6473f9eaa544-en,en,"Anime style portrait of Elsa, blushing slightly. A large pink heart floats on the left. A comic book speech bubble reads ""WOW!",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F4a7d6026b8a9fa0e573eb4805946fd05.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824120&Signature=4ZiB4fPrBjNMxLLolEdnvHMhp78%3D,v4.6_vlm,qwen-plus,1.00000000,20.22399521,3,42,88158
ip_elsa-c65fc5429b10-en,en,"Elsa standing confidently, arms raised wide in excitement, big smile, large eyes. White background with pink and red radial speed lines.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F71289a34ac9ea71573d3440adf2c2549.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824120&Signature=71eXYCxCTtedE39IG2bCDNYmdK4%3D,v4.6_vlm,qwen-plus,1.00000000,20.20332289,3,42,90325
ip_elsa-cfeb1f3d7d88-en,en,"Elsa sits indoors, touching her forehead with one hand while looking down.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Ff51b3b61c2661249ab2783f31ea782a1.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824090&Signature=3PQcjqCnjb3oOqFaxXSJULhVWls%3D,v4.6_vlm,qwen-plus,1.00000000,20.20162344,3,42,88608
ip_elsa-88c9029ff193-en,en,"Cinematic close-up of Elsa, centered in the frame, facing forward with an intense expression.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fd083c61a9fc079903445719c6d5eba77.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=NpMsA%2F6LobR2EaCp8rSw1xBIJ1k%3D,v4.6_vlm,qwen-plus,1.00000000,20.17860365,3,42,89320
ip_elsa-f9ca5516606f-en,en,"Close-up selfie of Elsa standing in front of sheer white curtains and heavier beige drapes, looking directly at the camera with slightly parted lips.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F9249a61faa12b696f70a2342632376d0.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824069&Signature=aLThubJJC0rERmb0puPpz8jS34E%3D,v4.6_vlm,qwen-plus,1.00000000,20.16665649,3,42,91137
ip_elsa-43e51dc2ceb7-en,en,"Anime style portrait of Elsa with her iconic platinum braid, wearing a shimmering ice-blue gown, a futuristic earpiece with red wires, and a delicate snowflake necklace.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fb6bf2dbc1067a0da11dedc63825c9089.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824102&Signature=6%2Fwo6u%2BLu%2Bxgw9l9jT5vulgCaZA%3D,v4.6_vlm,qwen-plus,1.00000000,20.16625500,3,42,88126
ip_elsa-f31282ca7a88-en,en,"Vibrant-color library moment: Elsa reading a book, lit with professional cinematic lighting",image,ip,ip_elsa,na,Elsa,true,,,,,reading a book in a library,cinematic lighting,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.16374588,3,42,181614
ip_elsa-343f5eb1329f-en,en,"Elsa center frame, her platinum braid cascading over a regal ice-blue gown, holding a delicate snowflake-shaped teacup. Purple diagonal stripes form the background.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F611cca7b467b5671569e51bbde0e6a89.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824111&Signature=O5KGQgMsnFfqa3M7MQ%2Fep9FAY0E%3D,v4.6_vlm,qwen-plus,1.00000000,20.14731741,3,42,90657
ip_elsa-0c72ae6663a2-en,en,"Anime chat interface screenshot featuring Elsa. Chat bubbles display repeated Chinese laughter text ""hahaha"" and the phrase ""srds."" Sidebar shows conversation history and status icons.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fbf5c07011cf39485f3f160783e41a727.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=%2FLdIotg8RmTgPdMTm6CwF4Eagqw%3D,v4.6_vlm,qwen-plus,1.00000000,20.10627317,3,42,90036
ip_elsa-3bb930481a1b-en,en,Mobile chat interface screenshot featuring a conversation in Chinese. Green and dark grey message bubbles overlay a background photo of Elsa smiling while holding a small dog.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F2a1fa15c4c4ae5cdb9c8a86b22dd4f4f.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824094&Signature=S2j8MR0PEpzOZAzBilnqyvmzK7o%3D,v4.6_vlm,qwen-plus,1.00000000,20.09993792,3,42,89295
ip_elsa-c9b7abc242b6-en,en,"Anime style illustration of Elsa smiling confidently while raising one hand near her head, wearing an elegant ice-blue gown with frost patterns.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F477a5c29ef872a6e802305ef9d0f7c3d.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824109&Signature=JRi1BOya7rhzfC3HOdEYX40C158%3D,v4.6_vlm,qwen-plus,1.00000000,20.08956242,3,42,90910
ip_elsa-28dc1749f018-en_2,en,"Anime style portrait of Elsa with icy blue braid and calm expression, wearing her iconic ice-blue gown, holding rectangular glasses near her face. Soft lighting.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F86580b422571756e683b8d0f340787d0.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=k3%2FEyeP1hEgdCIfbIgUGzeZTeTY%3D,v4.6_vlm,qwen-plus,1.00000000,20.08671379,3,42,91825
ip_elsa-6a087e4f75e3-en,en,"Elsa sitting indoors holding a black box, with her iconic platinum braid and regal attire, looking at the camera with a gentle expression.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fa086bed002c89253292d02c4776b71ca.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824093&Signature=wCJvNz6IH6mdCNbxp67Qe5brKpg%3D,v4.6_vlm,qwen-plus,1.00000000,20.08551741,3,42,89038
